grid: 2, block: 256
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 1, MAX_DIM: 128, presult_base: 128
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
